"measurement_value","base_date","year","month","day","day_of_week","is_holiday","base_time","hour","category_code","category_description","unit","nx","ny","admin_district_code","city","sub_address"
-1.20,2025-03-19,2025,3,19,Wednesday,FALSE,"0400",4,T1H,Temperature,Celsius,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
0.40,2025-03-19,2025,3,19,Wednesday,FALSE,"0400",4,UUU,WindSpeedEastWest,m/s,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
315.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0400",4,VEC,WindDirection,deg,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
-0.30,2025-03-19,2025,3,19,Wednesday,FALSE,"0400",4,VVV,WindSpeedSouthNorth,m/s,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
0.60,2025-03-19,2025,3,19,Wednesday,FALSE,"0400",4,WSD,WindSpeed,m/s,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0500",5,PTY,RainType,"0no1rain2rainSnow3snow5rainDrop6blowRainSnow7blowSnow",63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
55.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0500",5,REH,Humidity,%,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0500",5,RN1,"1HourRainfall",mm,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
-0.50,2025-03-19,2025,3,19,Wednesday,FALSE,"0500",5,T1H,Temperature,Celsius,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
0.80,2025-03-19,2025,3,19,Wednesday,FALSE,"0500",5,UUU,WindSpeedEastWest,m/s,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
256.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0500",5,VEC,WindDirection,deg,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
0.20,2025-03-19,2025,3,19,Wednesday,FALSE,"0500",5,VVV,WindSpeedSouthNorth,m/s,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
0.80,2025-03-19,2025,3,19,Wednesday,FALSE,"0500",5,WSD,WindSpeed,m/s,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0500",5,PTY,RainType,"0no1rain2rainSnow3snow5rainDrop6blowRainSnow7blowSnow",53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
57.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0500",5,REH,Humidity,%,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0500",5,RN1,"1HourRainfall",mm,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
-0.50,2025-03-19,2025,3,19,Wednesday,FALSE,"0500",5,T1H,Temperature,Celsius,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
1.80,2025-03-19,2025,3,19,Wednesday,FALSE,"0500",5,UUU,WindSpeedEastWest,m/s,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
317.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0500",5,VEC,WindDirection,deg,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
-1.80,2025-03-19,2025,3,19,Wednesday,FALSE,"0500",5,VVV,WindSpeedSouthNorth,m/s,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
2.60,2025-03-19,2025,3,19,Wednesday,FALSE,"0500",5,WSD,WindSpeed,m/s,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0500",5,PTY,RainType,"0no1rain2rainSnow3snow5rainDrop6blowRainSnow7blowSnow",66,120,"4150034000",Icheon,Majang-myeon
77.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0500",5,REH,Humidity,%,66,120,"4150034000",Icheon,Majang-myeon
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0500",5,RN1,"1HourRainfall",mm,66,120,"4150034000",Icheon,Majang-myeon
-3.70,2025-03-19,2025,3,19,Wednesday,FALSE,"0500",5,T1H,Temperature,Celsius,66,120,"4150034000",Icheon,Majang-myeon
-0.20,2025-03-19,2025,3,19,Wednesday,FALSE,"0500",5,UUU,WindSpeedEastWest,m/s,66,120,"4150034000",Icheon,Majang-myeon
72.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0500",5,VEC,WindDirection,deg,66,120,"4150034000",Icheon,Majang-myeon
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0500",5,VVV,WindSpeedSouthNorth,m/s,66,120,"4150034000",Icheon,Majang-myeon
0.30,2025-03-19,2025,3,19,Wednesday,FALSE,"0500",5,WSD,WindSpeed,m/s,66,120,"4150034000",Icheon,Majang-myeon
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0500",5,PTY,RainType,"0no1rain2rainSnow3snow5rainDrop6blowRainSnow7blowSnow",86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
100.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0500",5,REH,Humidity,%,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0500",5,RN1,"1HourRainfall",mm,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
-1.90,2025-03-19,2025,3,19,Wednesday,FALSE,"0500",5,T1H,Temperature,Celsius,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
0.20,2025-03-19,2025,3,19,Wednesday,FALSE,"0500",5,UUU,WindSpeedEastWest,m/s,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
326.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0500",5,VEC,WindDirection,deg,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
-0.20,2025-03-19,2025,3,19,Wednesday,FALSE,"0500",5,VVV,WindSpeedSouthNorth,m/s,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
0.40,2025-03-19,2025,3,19,Wednesday,FALSE,"0500",5,WSD,WindSpeed,m/s,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0600",6,PTY,RainType,"0no1rain2rainSnow3snow5rainDrop6blowRainSnow7blowSnow",63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
60.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0600",6,REH,Humidity,%,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0600",6,RN1,"1HourRainfall",mm,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
-1.20,2025-03-19,2025,3,19,Wednesday,FALSE,"0600",6,T1H,Temperature,Celsius,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
0.70,2025-03-19,2025,3,19,Wednesday,FALSE,"0600",6,UUU,WindSpeedEastWest,m/s,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
262.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0600",6,VEC,WindDirection,deg,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
0.10,2025-03-19,2025,3,19,Wednesday,FALSE,"0600",6,VVV,WindSpeedSouthNorth,m/s,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
0.70,2025-03-19,2025,3,19,Wednesday,FALSE,"0600",6,WSD,WindSpeed,m/s,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0600",6,PTY,RainType,"0no1rain2rainSnow3snow5rainDrop6blowRainSnow7blowSnow",53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
54.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0600",6,REH,Humidity,%,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0600",6,RN1,"1HourRainfall",mm,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
-0.60,2025-03-19,2025,3,19,Wednesday,FALSE,"0600",6,T1H,Temperature,Celsius,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
1.80,2025-03-19,2025,3,19,Wednesday,FALSE,"0600",6,UUU,WindSpeedEastWest,m/s,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
319.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0600",6,VEC,WindDirection,deg,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
-2.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0600",6,VVV,WindSpeedSouthNorth,m/s,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
2.80,2025-03-19,2025,3,19,Wednesday,FALSE,"0600",6,WSD,WindSpeed,m/s,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0600",6,PTY,RainType,"0no1rain2rainSnow3snow5rainDrop6blowRainSnow7blowSnow",66,120,"4150034000",Icheon,Majang-myeon
76.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0600",6,REH,Humidity,%,66,120,"4150034000",Icheon,Majang-myeon
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0600",6,RN1,"1HourRainfall",mm,66,120,"4150034000",Icheon,Majang-myeon
-3.70,2025-03-19,2025,3,19,Wednesday,FALSE,"0600",6,T1H,Temperature,Celsius,66,120,"4150034000",Icheon,Majang-myeon
-0.40,2025-03-19,2025,3,19,Wednesday,FALSE,"0600",6,UUU,WindSpeedEastWest,m/s,66,120,"4150034000",Icheon,Majang-myeon
135.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0600",6,VEC,WindDirection,deg,66,120,"4150034000",Icheon,Majang-myeon
0.50,2025-03-19,2025,3,19,Wednesday,FALSE,"0600",6,VVV,WindSpeedSouthNorth,m/s,66,120,"4150034000",Icheon,Majang-myeon
0.70,2025-03-19,2025,3,19,Wednesday,FALSE,"0600",6,WSD,WindSpeed,m/s,66,120,"4150034000",Icheon,Majang-myeon
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0600",6,PTY,RainType,"0no1rain2rainSnow3snow5rainDrop6blowRainSnow7blowSnow",86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
100.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0600",6,REH,Humidity,%,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0600",6,RN1,"1HourRainfall",mm,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
-1.50,2025-03-19,2025,3,19,Wednesday,FALSE,"0600",6,T1H,Temperature,Celsius,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
0.70,2025-03-19,2025,3,19,Wednesday,FALSE,"0600",6,UUU,WindSpeedEastWest,m/s,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
339.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0600",6,VEC,WindDirection,deg,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
-1.70,2025-03-19,2025,3,19,Wednesday,FALSE,"0600",6,VVV,WindSpeedSouthNorth,m/s,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
1.90,2025-03-19,2025,3,19,Wednesday,FALSE,"0600",6,WSD,WindSpeed,m/s,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0700",7,PTY,RainType,"0no1rain2rainSnow3snow5rainDrop6blowRainSnow7blowSnow",63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
59.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0700",7,REH,Humidity,%,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0700",7,RN1,"1HourRainfall",mm,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
-0.60,2025-03-19,2025,3,19,Wednesday,FALSE,"0700",7,T1H,Temperature,Celsius,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
1.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0700",7,UUU,WindSpeedEastWest,m/s,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
248.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0700",7,VEC,WindDirection,deg,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
0.40,2025-03-19,2025,3,19,Wednesday,FALSE,"0700",7,VVV,WindSpeedSouthNorth,m/s,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
1.10,2025-03-19,2025,3,19,Wednesday,FALSE,"0700",7,WSD,WindSpeed,m/s,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0700",7,PTY,RainType,"0no1rain2rainSnow3snow5rainDrop6blowRainSnow7blowSnow",53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
54.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0700",7,REH,Humidity,%,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0700",7,RN1,"1HourRainfall",mm,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
-1.10,2025-03-19,2025,3,19,Wednesday,FALSE,"0700",7,T1H,Temperature,Celsius,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
0.60,2025-03-19,2025,3,19,Wednesday,FALSE,"0700",7,UUU,WindSpeedEastWest,m/s,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
341.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0700",7,VEC,WindDirection,deg,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
-1.60,2025-03-19,2025,3,19,Wednesday,FALSE,"0700",7,VVV,WindSpeedSouthNorth,m/s,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
1.80,2025-03-19,2025,3,19,Wednesday,FALSE,"0700",7,WSD,WindSpeed,m/s,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0700",7,PTY,RainType,"0no1rain2rainSnow3snow5rainDrop6blowRainSnow7blowSnow",66,120,"4150034000",Icheon,Majang-myeon
79.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0700",7,REH,Humidity,%,66,120,"4150034000",Icheon,Majang-myeon
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0700",7,RN1,"1HourRainfall",mm,66,120,"4150034000",Icheon,Majang-myeon
-4.20,2025-03-19,2025,3,19,Wednesday,FALSE,"0700",7,T1H,Temperature,Celsius,66,120,"4150034000",Icheon,Majang-myeon
-0.30,2025-03-19,2025,3,19,Wednesday,FALSE,"0700",7,UUU,WindSpeedEastWest,m/s,66,120,"4150034000",Icheon,Majang-myeon
117.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0700",7,VEC,WindDirection,deg,66,120,"4150034000",Icheon,Majang-myeon
0.20,2025-03-19,2025,3,19,Wednesday,FALSE,"0700",7,VVV,WindSpeedSouthNorth,m/s,66,120,"4150034000",Icheon,Majang-myeon
0.40,2025-03-19,2025,3,19,Wednesday,FALSE,"0700",7,WSD,WindSpeed,m/s,66,120,"4150034000",Icheon,Majang-myeon
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0700",7,PTY,RainType,"0no1rain2rainSnow3snow5rainDrop6blowRainSnow7blowSnow",86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
100.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0700",7,REH,Humidity,%,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0700",7,RN1,"1HourRainfall",mm,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
-2.20,2025-03-19,2025,3,19,Wednesday,FALSE,"0700",7,T1H,Temperature,Celsius,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
0.30,2025-03-19,2025,3,19,Wednesday,FALSE,"0700",7,UUU,WindSpeedEastWest,m/s,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
323.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0700",7,VEC,WindDirection,deg,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
-0.30,2025-03-19,2025,3,19,Wednesday,FALSE,"0700",7,VVV,WindSpeedSouthNorth,m/s,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
0.50,2025-03-19,2025,3,19,Wednesday,FALSE,"0700",7,WSD,WindSpeed,m/s,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0800",8,PTY,RainType,"0no1rain2rainSnow3snow5rainDrop6blowRainSnow7blowSnow",63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
55.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0800",8,REH,Humidity,%,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0800",8,RN1,"1HourRainfall",mm,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
0.60,2025-03-19,2025,3,19,Wednesday,FALSE,"0800",8,T1H,Temperature,Celsius,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
1.10,2025-03-19,2025,3,19,Wednesday,FALSE,"0800",8,UUU,WindSpeedEastWest,m/s,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
246.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0800",8,VEC,WindDirection,deg,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
0.50,2025-03-19,2025,3,19,Wednesday,FALSE,"0800",8,VVV,WindSpeedSouthNorth,m/s,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
1.20,2025-03-19,2025,3,19,Wednesday,FALSE,"0800",8,WSD,WindSpeed,m/s,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0800",8,PTY,RainType,"0no1rain2rainSnow3snow5rainDrop6blowRainSnow7blowSnow",53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
53.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0800",8,REH,Humidity,%,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0800",8,RN1,"1HourRainfall",mm,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
-0.10,2025-03-19,2025,3,19,Wednesday,FALSE,"0800",8,T1H,Temperature,Celsius,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
1.50,2025-03-19,2025,3,19,Wednesday,FALSE,"0800",8,UUU,WindSpeedEastWest,m/s,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
292.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0800",8,VEC,WindDirection,deg,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
-0.50,2025-03-19,2025,3,19,Wednesday,FALSE,"0800",8,VVV,WindSpeedSouthNorth,m/s,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
1.60,2025-03-19,2025,3,19,Wednesday,FALSE,"0800",8,WSD,WindSpeed,m/s,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0800",8,PTY,RainType,"0no1rain2rainSnow3snow5rainDrop6blowRainSnow7blowSnow",66,120,"4150034000",Icheon,Majang-myeon
68.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0800",8,REH,Humidity,%,66,120,"4150034000",Icheon,Majang-myeon
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0800",8,RN1,"1HourRainfall",mm,66,120,"4150034000",Icheon,Majang-myeon
-1.70,2025-03-19,2025,3,19,Wednesday,FALSE,"0800",8,T1H,Temperature,Celsius,66,120,"4150034000",Icheon,Majang-myeon
-0.10,2025-03-19,2025,3,19,Wednesday,FALSE,"0800",8,UUU,WindSpeedEastWest,m/s,66,120,"4150034000",Icheon,Majang-myeon
146.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0800",8,VEC,WindDirection,deg,66,120,"4150034000",Icheon,Majang-myeon
0.30,2025-03-19,2025,3,19,Wednesday,FALSE,"0800",8,VVV,WindSpeedSouthNorth,m/s,66,120,"4150034000",Icheon,Majang-myeon
0.40,2025-03-19,2025,3,19,Wednesday,FALSE,"0800",8,WSD,WindSpeed,m/s,66,120,"4150034000",Icheon,Majang-myeon
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0800",8,PTY,RainType,"0no1rain2rainSnow3snow5rainDrop6blowRainSnow7blowSnow",86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
96.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0800",8,REH,Humidity,%,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0800",8,RN1,"1HourRainfall",mm,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
-0.10,2025-03-19,2025,3,19,Wednesday,FALSE,"0800",8,T1H,Temperature,Celsius,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
0.50,2025-03-19,2025,3,19,Wednesday,FALSE,"0800",8,UUU,WindSpeedEastWest,m/s,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
333.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0800",8,VEC,WindDirection,deg,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
-0.90,2025-03-19,2025,3,19,Wednesday,FALSE,"0800",8,VVV,WindSpeedSouthNorth,m/s,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
1.10,2025-03-19,2025,3,19,Wednesday,FALSE,"0800",8,WSD,WindSpeed,m/s,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0900",9,PTY,RainType,"0no1rain2rainSnow3snow5rainDrop6blowRainSnow7blowSnow",63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
41.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0900",9,REH,Humidity,%,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
